fileName,Roll,Year,Month,Day,Location,Latitude,Longitude,Altitude,pid_tn,pid_jpeg,pid_tiff,fiducial_proxy_type,focal_length
AP67V2_227,,,,,,,,unknown,,urn:uuid:4ba3141c-3f01-4539-a90d-6735b19d0916,urn:uuid:b7cb18f7-f3d6-42bd-8b99-9958850e205d,,
AP67V2_228,,,,,,,,unknown,,urn:uuid:dfc41c58-8572-4745-9d65-e333026e4e7a,urn:uuid:77bb37dd-ece3-4918-877a-cf1c27df8693,,
AP67V2_229,,,,,,,,unknown,,urn:uuid:02283ce2-ae4d-48cb-ad58-0e6fd3d2b695,urn:uuid:a0add9ba-beb4-4302-857d-84adfdcebf2e,,
AP67V2_230,,,,,,,,unknown,,urn:uuid:b6fd9fd5-02c2-4a0e-b95d-ad97d59f4800,urn:uuid:96c6ca1f-7194-4371-a875-6fb9d836d11b,,
AP67V2_231,,,,,,,,unknown,,urn:uuid:4852d1ee-bd61-41bc-b2f0-873e39eb3f72,urn:uuid:722fb787-1bf5-4802-8be8-4f84b00b114b,,
AP67V2_232,,,,,,,,unknown,,urn:uuid:9ac95320-5219-4b84-b04a-3eae6e637b98,urn:uuid:4e00a5fb-0f21-4b98-a26b-3d6629190616,,
AP67V2_233,,,,,,,,unknown,,urn:uuid:6723de97-eb7b-4534-9f95-fb964ab1afc5,urn:uuid:ca867c87-690b-4ff8-af0c-2e285e42fca3,,
AP67V2_234,,,,,,,,unknown,,urn:uuid:d43c4ecd-52cf-4369-bcb5-b61c19c2ad29,urn:uuid:b83aab72-45c8-4b5b-92e0-637b7d76bbc0,,
AP67V2_235,,,,,,,,unknown,,urn:uuid:80de0e94-d3a0-47d2-8c14-687ebcad543e,urn:uuid:d956f856-9907-49eb-9482-8c52f959f50b,,
AP67V2_236,,,,,,,,unknown,,urn:uuid:031dd3ef-d992-4218-91fe-45f2bdc10a0d,urn:uuid:88af0010-10f4-40b4-9123-04ec6be5101d,,
AP67V2_237,,,,,,,,unknown,,urn:uuid:36e16abe-4300-4baf-804e-9699f8629941,urn:uuid:1c31b5d2-0ae6-48a2-afd2-df1cedd00a36,,
AP67V2_238,,,,,,,,unknown,,urn:uuid:36dccf93-7e5a-4c90-8a59-f65611c508b3,urn:uuid:cd54d949-9abb-482f-8c76-e524a2009992,,
AP67V2_239,,,,,,,,unknown,,urn:uuid:2a8de17f-14d5-485f-b7d4-3616c20cd068,urn:uuid:f4597fc2-cc57-4108-9ce5-dba9bb4b5ede,,
AP67V2_240,,,,,,,,unknown,,urn:uuid:b5bd651d-4d5d-428a-9a9b-d2edbd490fbf,urn:uuid:09e494ab-54dc-470b-a2d6-80133211b2e1,,
AP67V2_241,,,,,,,,unknown,,urn:uuid:de479aee-040e-428e-87de-57ab35ac9039,urn:uuid:d2c4eb6a-69c3-4836-b47b-a8f62a0ba45e,,
AP67V2_242,,,,,,,,unknown,,urn:uuid:f44e5d60-e8cd-443b-be69-bd26fefc6f22,urn:uuid:52c6d51f-04a0-4269-b41a-86b62ba15cba,,
AP67V2_243,,,,,,,,unknown,,urn:uuid:f9c4d0f8-7a93-46e7-8eaa-3bcb8500e1b5,urn:uuid:1a4e0cf3-cbd9-4043-b2fe-41dd58746602,,
AP67V2_244,,,,,,,,unknown,,urn:uuid:1b829d7f-03cb-4e08-93f3-564c50d2286d,urn:uuid:e345db2b-e0b2-49ef-b69f-734b35217070,,
